Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Begonia_rubella,x,1,0.39,0.77,0.58
Begonia_crassicaulis,14,0,0.67,0.91,0.79
Begonia_smithiae,x,NA,0.36,0.69,0.525
Begonia_augustinei,x,0,0.61,0.83,0.72
Begonia_goegoensis,17,0,0.67,0.9,0.785
Begonia_chlorosticta,x,0,0.63,0.81,0.72
Begonia_chingii,x,NA,0.54,0.71,0.625
Begonia_reniformis,18,1,1,0.92,0.96
Begonia_variabilis,x,0,0.67,0.81,0.74
Begonia_goudotii,x,1,0.75,0.72,0.735
Begonia_merrittii,x,NA,0.48,0.85,0.665
Begonia_molleri,19,1,0.96,0.9,0.93
Begonia_nossibea,x,1,1,0.76,0.88
Begonia_thiemei,14,0,0.67,0.93,0.8
Begonia_mendumae,x,0,0.57,0.79,0.68
Begonia_umbraculifolia,x,0,0.67,0.81,0.74
Begonia_loranthoides_subsp._rhopalocarpa,x,1,0.97,0.91,0.94
Begonia_huangii,x,0,0.67,0.91,0.79
Begonia_gabonensis,x,1,1,0.86,0.93
Begonia_pseudolateralis,x,0,0.61,0.84,0.725
Begonia_guttapila,x,0,0.59,0.82,0.705
Begonia_convolvulacea,12,0,0.67,0.93,0.8
Begonia_acetosella,11,0,0.73,0.92,0.825
Begonia_sizemoreae,x,0,0.48,0.89,0.685
Begonia_macintyreana,x,0,0.57,0.77,0.67
Begonia_lanternaria,x,0,0.67,0.8,0.735
Begonia_piurensis,x,0,0.57,0.82,0.695
Begonia_bataiensis,x,NA,0.47,0.69,0.58
Begonia_fagifolia,19,1,1,0.9,0.95
Begonia_palmata,11,0,0.67,0.89,0.78
Begonia_eminii,19,1,0.96,0.91,0.935
Begonia_thelmae,x,0,0.67,0.85,0.76
Begonia_oxyloba,x,1,0.81,0.53,0.67
Begonia_cathayana,10,0,0.67,0.88,0.775
Begonia_grandis,13,0,0.67,0.89,0.78
Begonia_cleopatrae,x,0,0.49,0.67,0.58
Begonia_potamophila,x,1,0.63,0.79,0.71
Begonia_lancangensis,x,0,0.72,0.9,0.81
Begonia_subnummularifolia,16,0,0.67,0.9,0.785
Begonia_arachnoidea,x,0,0.67,0.84,0.755
Begonia_muricata,x,0,0.67,0.79,0.73
Begonia_horticola,18,1,0.96,0.91,0.935
Begonia_kingiana,x,NA,0.45,0.69,0.57
Begonia_masoniana,15,0,0.67,0.9,0.785
Begonia_ozotothrix,x,NA,0.42,0.78,0.6
Begonia_pavonina,11,0,0.67,0.89,0.78
Begonia_leptoptera,x,0,0.49,0.67,0.58
Begonia_letouzeyi,x,1,0.77,0.8,0.785
Begonia_buimontana,15,1,0.96,0.9,0.93
Begonia_platycarpa,x,0,0.67,0.82,0.745
Begonia_isoptera,15,0,0.67,0.9,0.785
Begonia_hemsleyana,11,0,0.67,0.88,0.775
Begonia_hymenophylla,x,0,0.35,0.7,0.525
Begonia_polilloensis,x,NA,0.52,0.86,0.69
Begonia_villifolia,x,0,0.67,0.87,0.77
Begonia_kinabaluensis,x,0,0.65,0.76,0.705
Begonia_setifolia,x,0,0.68,0.87,0.775
Begonia_samhaensis,x,0,0.67,0.79,0.73
Begonia_baviensis,x,0,0.67,0.83,0.75
Begonia_bolsteri,x,NA,0.38,0.86,0.62
Begonia_lubbersii,28,1,1,0.9,0.95
Begonia_tayabensis,x,0,0.67,0.87,0.77
Begonia_balansana,x,0,0.67,0.83,0.75
Begonia_taligera,x,0,0.66,0.85,0.755
Begonia_flacca,x,0,0.65,0.85,0.75
Begonia_vermeulenii,x,0,0.54,0.83,0.685
Begonia_serratipetala,22,1,0.99,0.91,0.95
Begonia_coronensis,x,0,0.66,0.77,0.715
Begonia_rufosericea,28,1,0.95,0.91,0.93
Begonia_multijugata,x,0,0.58,0.82,0.7
Begonia_henryi,15,1,0.99,0.93,0.96
Begonia_polygonoides,18,1,0.96,0.89,0.925
Begonia_staudtii,17,1,0.54,0.88,0.71
Begonia_weigallii,x,1,0.4,0.84,0.62
Begonia_cavaleriei,15,0,0.67,0.91,0.79
Begonia_boliviensis,14,0,0.67,0.9,0.785
Begonia_annulata,13,0,0.67,0.89,0.78
Begonia_ulmifolia,15,0,0.67,0.92,0.795
Begonia_guaduensis,52,1,1,0.88,0.94
Begonia_madecassa,x,1,1,0.74,0.87
