Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Acacia_myrtifolia,x,0,1,0.92,0.96
Acacia_hakeoides,x,0,1,1,1
Acacia_longissima,x,0,1,0.99,0.995
Acacia_alpina,x,0,1,0.99,0.995
Acacia_chrysella,x,0,1,0.98,0.99
Acacia_baxteri,x,0,1,0.9,0.95
Acacia_subulata,x,0,1,0.99,0.995
Acacia_latescens,x,0,1,0.93,0.965
Acacia_ataxiphylla,x,0,1,0.94,0.97
Acacia_debilis,x,0,1,0.98,0.99
Acacia_anfractuosa,x,0,0.87,0.99,0.93
Acacia_tysonii,x,0,1,0.97,0.985
Acacia_stowardii,x,0,0.76,0.95,0.855
Acacia_kybeanensis,x,0,1,0.91,0.955
Acacia_ingramii,x,0,1,0.96,0.98
Acacia_cognata,x,0,1,0.99,0.995
Acacia_araneosa,x,0,1,1,1
Acacia_petraea,x,0,1,0.97,0.985
Acacia_microsperma,x,1,0.46,0.98,0.72
Acacia_saliciformis,x,0,1,0.98,0.99
Acacia_blakei_subsp._diphylla,x,0,1,0.96,0.98
Acacia_baueri,x,0,1,0.99,0.995
Acacia_diallaga,x,0,1,0.96,0.98
Acacia_pubescens,13,0,1,1,1
Acacia_clydonophora,x,0,1,0.92,0.96
Acacia_alata_var._platyptera,x,0,1,0.99,0.995
Acacia_jennerae,x,0,1,1,1
Acacia_redolens,x,0,1,0.97,0.985
Acacia_simsii,13,0,1,1,1
Acacia_glaucocarpa,x,0,1,0.99,0.995
Acacia_spectabilis,13,0,1,1,1
Acacia_distans,x,0,0.62,0.98,0.8
Acacia_acanthoclada,x,0,1,0.95,0.975
Acacia_tropica,x,0,1,0.96,0.98
Acacia_bulgaensis,x,0,0.76,0.98,0.87
Acacia_browniana,x,0,1,0.9,0.95
Acacia_pruinocarpa,x,0,1,0.91,0.955
Acacia_fimbriata,13,0,1,1,1
Acacia_implexa,13,0,1,1,1
Acacia_dimidiata,x,0,1,0.96,0.98
Acacia_enervia,x,1,0.94,0.99,0.965
Acacia_oswaldii,x,0,1,0.98,0.99
Acacia_porcata,x,0,1,0.95,0.975
Acacia_torulosa,x,0,1,0.98,0.99
